name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Bitch Lasagna,Bitch Lasagna,pewdiepie,2018-11-06,134416,57,0.0138,0.795,0.789,0.0,0.113,-5.21,0.259,149.961,0.538,4,2,1,spotify:track:1AKGJQIHP3dIPuhOjdxD6a,2018,2020,zeta,C20
Gundam 2077,Gundam 2077 EP,Mantus,2019-08-26,202735,6,0.0125,0.508,0.911,0.847,0.136,-10.879,0.0443,104.98,0.635,4,1,1,spotify:track:3kbvQubqaMLVRqZs0DKFJ4,2019,2020,zeta,C60
Astrid,Bad Blood,The Encounter,2018-08-14,296744,41,0.000502,0.462,0.854,0.896,0.11,-10.331,0.034,110.017,0.058,4,2,1,spotify:track:731wnLuIxBdoqArAo7ls5U,2018,2020,zeta,C61
La passion de Jèsus Crist,Cap aus sorelhs,Vox Bigerri,2013-12-09,566173,0,0.987,0.197,0.119,0.00292,0.122,-15.456,0.0346,131.728,0.0652,3,1,1,spotify:track:1V7AoFe8ibDwjtZdLvkT2Q,2013,2020,zeta,C96
She Moves Like a Knife,The Uncanny Valley,Perturbator,2016-05-06,333056,37,0.000523,0.348,0.995,0.0452,0.204,0.532,0.092,155.052,0.17,4,7,1,spotify:track:3C8fGIzU6YJ04DQ9H7jvGH,2016,2020,zeta,C103
Bad Apple!!,Bullet Hell,RichaadEB,2018-01-04,299130,0,8.64e-05,0.573,0.94,0.838,0.683,-4.505,0.0479,138.013,0.588,4,1,1,spotify:track:4Cf79mYekC12YWNw13Va8r,2018,2020,zeta,C156
Dakota (Undercover Extended Mix),Dakota,Juno Reactor,2018-08-10,473142,21,0.00687,0.578,0.959,0.889,0.0805,-6.605,0.0523,140.018,0.373,4,1,1,spotify:track:412ck4hZ5Db7Dw2AhLY4W7,2018,2020,zeta,C180
Bliss on Mushrooms,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,570978,47,0.0169,0.562,0.732,0.788,0.118,-5.896,0.0489,140.005,0.074,4,6,0,spotify:track:6rCcJf8p7z9QDlfzmBVSVl,2018,2020,zeta,C211
Bitch Lasagna (The Pewdiepie T-Series Song),"Covers, Vol. 33",PelleK,2018-11-26,131200,0,0.0433,0.618,0.821,7.09e-06,0.134,-5.548,0.0408,74.979,0.631,4,6,0,spotify:track:4uSMe1qRwHic66G7Hi1jrY,2018,2020,zeta,C225
Requiem for Humanity,The Living Will Envy the Dead,We Are Magonia,2019-12-06,253294,17,0.815,0.532,0.197,0.851,0.103,-12.867,0.0373,109.997,0.0662,4,2,0,spotify:track:2lKprQaupIfXslD5NSyw4Q,2019,2020,zeta,C342
Lost In Space,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,295669,38,0.321,0.607,0.922,0.00375,0.104,-5.245,0.105,180.023,0.586,4,3,0,spotify:track:6eHkModpBlDnq8vsJ6Ndag,2018,2020,zeta,C371
Escape from You,Diversity,Samo & Co,2019-09-16,284571,2,0.000389,0.517,0.678,0.419,0.327,-8.552,0.0447,140.008,0.0815,4,5,0,spotify:track:6963EmnelF55gRk9r3qmD8,2019,2020,zeta,C388
My Disintegration - Joe Ford Remix,A Matter of Time,Celldweller,2019-04-18,327426,0,0.00036,0.524,0.934,0.122,0.667,-2.483,0.0863,170.192,0.455,3,10,0,spotify:track:2kpSVfEtyUlIkTB68et2VM,2019,2020,zeta,C436
Turbo Killer,TRILOGY,Carpenter Brut,2015,208972,60,6.72e-05,0.312,0.755,0.076,0.272,-1.673,0.067,147.162,0.288,4,5,0,spotify:track:10qbHF920zH5K8C8IcE5AL,2015,2020,zeta,C472
No Line in MIDI,More than Just a Name,Infected Mushroom,2020-03-23,419005,32,0.0018,0.612,0.779,0.779,0.109,-7.251,0.0621,138.006,0.293,4,11,0,spotify:track:09Gc1nlDGb9hZxHjy6lOV4,2020,2020,zeta,C475
"Gli uccelli (The Birds), P. 154: V. Il cucu: Allegro","Respighi: Suite in G Major, P. 58, Trittico botticelliano, The Birds, & Serenata",Ottorino Respighi,06/05/2014,262560,42,0.974,0.261,0.0671,0.441,0.333,-20.39,0.0385,116.813,0.136,4,9,1,spotify:track:25V8y1DL6EKMhpwKxPuyRK,2014,2020,zeta,C608
Scarab,Scarab,Vairo,2018-12-21,196289,50,0.0114,0.513,0.622,0.755,0.184,-8.599,0.148,127.962,0.103,4,9,1,spotify:track:3ZVNSBkvPlreFiLxcjjT8R,2018,2020,zeta,C624
Pressure Vessel,Pressure Vessel,Tempis,2019-10-26,244399,0,0.0536,0.754,0.867,0.848,0.0946,-7.642,0.121,110.004,0.604,4,1,1,spotify:track:0OwuuDdAp6iHTiR9SemRjq,2019,2020,zeta,C631
Chenchen Barvaz,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,462857,33,0.00569,0.59,0.734,0.84,0.201,-6.746,0.0513,140.005,0.167,4,5,0,spotify:track:22lakhRP42TR8pPsBPZQU8,2018,2020,zeta,C669
Rokudan,"The Art of the Koto, Vol. 1: Works from the Edo Period",Satomi Fukami,2000-01-01,378360,18,0.9,0.571,0.202,0.923,0.0672,-16.927,0.0847,99.106,0.105,4,5,0,spotify:track:57RzDwvm1UaYrL9mAFFMcj,2000,2020,zeta,C675
My Disintegration - Instrumental,A Matter of Time,Celldweller,2019-04-18,380885,0,5.57e-05,0.254,0.846,0.865,0.112,-3.507,0.12,181.072,0.349,4,5,0,spotify:track:643TFMa4RwMWtchmXAUMWY,2019,2020,zeta,C704
Cold Planet,The Living Will Envy the Dead,We Are Magonia,2019-12-06,223689,22,0.0193,0.472,0.867,0.854,0.616,-7.635,0.0295,140.031,0.448,4,2,1,spotify:track:1qp3KXvpnLOavBva7gjHp5,2019,2020,zeta,C789
Synthwave Is Dead,The Living Will Envy the Dead,We Are Magonia,2019-12-06,255833,27,0.00664,0.583,0.934,0.921,0.327,-9.099,0.0738,103.022,0.122,4,1,1,spotify:track:0cfTmOAORo6FhOkHW2sG86,2019,2020,zeta,C817
Eyes of Madness,The Shape,Dance With the Dead,2016-02-06,278230,40,1.1e-05,0.567,0.808,0.661,0.148,-5.343,0.0546,113.006,0.0349,4,2,1,spotify:track:1qpfndAEGm7YIL6HFuuRCM,2016,2020,zeta,C843
Quietly into the Night,The Shape,Dance With the Dead,2016-02-06,176557,29,0.000686,0.366,0.459,0.699,0.104,-7.867,0.0337,121.896,0.0364,4,4,0,spotify:track:5BeXuZqe6A9evsq15vPlOE,2016,2020,zeta,C847
My Disintegration,A Matter of Time,Celldweller,2019-04-18,380885,0,6.05e-05,0.236,0.903,0.154,0.105,-3.02,0.18,184.05,0.395,4,8,1,spotify:track:2XFtW0XtJNmBP2MnizCrT4,2019,2020,zeta,C865
