name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Petit bonhomme,Tant Pis ! Tant Mieux !,Les Wriggles,2007-11-19,203746,1,0.863,0.827,0.19,2.48e-06,0.105,-15.496,0.131,129.884,0.73,4,4,0,spotify:track:3uyV36mgycFnrr1P53oRcX,2007,2016,alpha
Bei Mir Bist Du Schoen,Wake Up In Paris,The Hot Sardines,2014-10-20,246440,18,0.613,0.725,0.454,0.0184,0.0376,-8.757,0.206,123.433,0.66,4,0,0,spotify:track:3fKjPA1qbrHLDbyxQVgYdU,2014,2016,alpha
Les gens qui doutent,Favourite Songs,Vincent Delerm,2007-10-29,216400,0,0.922,0.383,0.526,0.000813,0.764,-12.047,0.0872,94.824,0.32,3,2,0,spotify:track:7omjNuFBpAV55ebA86F43B,2007,2016,alpha
Les saintes,Jusqu'à la mer,Amélie-Les-Crayons,2012-10-08,141000,21,0.897,0.858,0.392,0.0,0.187,-7.49,0.0742,128.076,0.908,4,5,0,spotify:track:2VlBgdZQ3V1hszDwUZwf8U,2012,2016,alpha
Les moutons - Cuvée 97,Antaology,Matmatah,2015-09-25,229560,16,0.5,0.607,0.951,0.0,0.137,-2.759,0.146,164.936,0.851,4,0,1,spotify:track:6PZJnGOQOYBdSCCkXmyaC1,2015,2016,alpha
A petit feu,Les paradis Disponibles,Aldebert,2006-10-02,185733,0,0.508,0.597,0.539,0.0,0.172,-6.643,0.0285,97.541,0.566,3,2,0,spotify:track:7359kzScp86uQ01v8dmbn8,2006,2016,alpha
I Wanna Be Like You,This Beautiful Life,Big Bad Voodoo Daddy,1999-01-01,220357,42,0.339,0.68,0.801,4.74e-05,0.0358,-5.262,0.0548,101.858,0.925,4,11,0,spotify:track:7os7j6OKzxl1a8RAnGitzN,1999,2016,alpha
Grand Artica,Deltas,Chapelier Fou,2015-08-28,198826,0,0.35,0.592,0.557,0.249,0.105,-6.752,0.0284,99.959,0.14,4,5,1,spotify:track:3lzpfQtYhHz2BCgO1D7vdA,2015,2016,alpha
This World,Selah Sue,Selah Sue,2011-03-04,285813,0,0.114,0.708,0.619,1.75e-05,0.365,-5.257,0.0676,136.135,0.327,4,7,0,spotify:track:5Fzsgjt24v7nDJdhIOIBS2,2011,2016,alpha
Sun,Beacon (Deluxe Version),Two Door Cinema Club,2012-01-01,187720,0,0.00982,0.649,0.533,0.000364,0.111,-5.426,0.0284,96.973,0.611,4,4,0,spotify:track:3kAwGo8mtUPsrctroxYLku,2012,2016,alpha
Stereo,Time for a Change (Deluxe Edition),Elephanz,2014-04-28,169585,0,0.0213,0.717,0.724,3.65e-06,0.0989,-3.856,0.024,100.01,0.76,4,6,1,spotify:track:67UJkRWjP2B6qOU9IMu2Wl,2014,2016,alpha
Chat de gouttière,Morceaux de papier,La Belle Bleue,2010-04-02,194240,43,0.012,0.705,0.657,0.0,0.109,-5.144,0.0301,90.047,0.784,4,2,0,spotify:track:2s23RMNXMsosCFkTBmdlJV,2010,2016,alpha
Fly,Divenire,Ludovico Einaudi,2007-04-20,280920,0,0.994,0.16,0.178,0.848,0.0675,-18.749,0.036,75.973,0.0348,3,1,0,spotify:track:0UdTjf1Bhw6zJOG86GrbiJ,2007,2016,alpha
Emmène-moi,Bruxelles,Boulevard des Airs,2015-06-01,198866,0,0.632,0.85,0.579,4.48e-06,0.351,-7.957,0.0502,110.044,0.614,4,2,0,spotify:track:5pOUyuzdyAwv0k9oiNOnS9,2015,2016,alpha
Conquest Of Spaces,The Golden Age,Woodkid,2013-01-01,269880,44,0.342,0.394,0.739,2.85e-05,0.111,-6.654,0.0448,124.97,0.227,4,1,1,spotify:track:1vQYZkwGwIotHU0BYCyQiu,2013,2016,alpha
On n'est pas fatigués,Jusqu'à la mer,Amélie-Les-Crayons,2012-10-08,216546,18,0.588,0.725,0.579,0.0,0.224,-5.918,0.0531,103.03,0.688,3,0,1,spotify:track:2jEaeStC4QfNELXEGtdsDw,2012,2016,alpha
Le bruit,Dimanche,Oldelaf,2014-01-27,151633,31,0.332,0.845,0.558,0.0,0.0537,-4.799,0.0688,106.025,0.966,4,0,1,spotify:track:5k8pFRjPxoBxfToIYGEqRs,2014,2016,alpha
My Number,Holy Fire,Foals,2013-02-11,240533,0,0.0319,0.639,0.744,0.000458,0.466,-8.377,0.0368,128.047,0.825,4,6,0,spotify:track:4c9WmjVlQMr0s1IjbYO52Z,2013,2016,alpha
True Sorry,Illusions,Ibrahim Maalouf,2013-11-05,291303,55,0.585,0.288,0.454,0.882,0.177,-7.639,0.0369,123.143,0.0792,4,4,0,spotify:track:5EzGOkUwkRUXYAyvjlEHah,2013,2016,alpha
Howl's moving castle,Prima O Poi,Giovanni Mirabassi,2005-09-09,277106,0,0.833,0.381,0.307,0.942,0.101,-16.403,0.0349,175.182,0.39,3,7,0,spotify:track:2INC8sCq97E6QHdxOv7X1E,2005,2016,alpha
La pleureuse,Eldorado(s),Debout Sur Le Zinc,2015-09-25,235386,0,0.511,0.543,0.677,5.17e-06,0.1,-6.337,0.028,96.951,0.413,4,4,0,spotify:track:7LZ1I3ZkwyfwLgGakt0Eq4,2015,2016,alpha
The Stojka Empire (feat Harry Stojka & The Cat Empire),Morgenlandfahrt (Deluxe Edition),[dunkelbunt],2010-12-17,339493,0,0.0703,0.83,0.759,0.587,0.664,-8.273,0.0666,113.992,0.793,4,9,1,spotify:track:4W3rzHyKV8BoGsqMtB3gRC,2010,2016,alpha
Timing,Sur o No Sur,Kevin Johansen,2003-11-04,233173,39,0.81,0.683,0.244,0.0,0.101,-12.372,0.0326,87.998,0.307,4,2,0,spotify:track:4AN91ebIhqSWfR6uKFGppM,2003,2016,alpha
Something Good,An Awesome Wave,alt-J,2012-09-18,217320,61,0.714,0.682,0.581,0.323,0.0802,-10.339,0.0295,108.98,0.539,4,7,1,spotify:track:3xqxETvPg43KWP0HOGiOmu,2012,2016,alpha
Les métamorphoses du vide,613,Chapelier Fou,2010-03-15,161400,0,0.548,0.493,0.473,0.885,0.118,-11.607,0.0316,134.94,0.206,4,10,1,spotify:track:6ruMklGZEAVBjxe4AbD4pM,2010,2016,alpha
Raggamuffin,Selah Sue,Selah Sue,2011-03-04,160000,0,0.196,0.486,0.604,0.0,0.107,-5.934,0.215,187.704,0.721,4,0,0,spotify:track:6Gith1MKLMgLQX894eV1Up,2011,2016,alpha
Indécis,La Fuite en Avant,Debout Sur Le Zinc,2011-10-03,200920,0,0.469,0.581,0.791,4.78e-05,0.0945,-6.639,0.0469,144.957,0.712,4,2,0,spotify:track:5OQNK8qEYJTHrSBBDl7eqj,2011,2016,alpha
La soucoupe volante (with Leeroy),Enfantillages 2,Aldebert,2013-10-07,199293,26,0.347,0.72,0.769,0.0,0.108,-5.654,0.0705,92.044,0.714,4,7,0,spotify:track:5taxp3S9K7lBgTZWlaTer1,2013,2016,alpha
NUITS FAUVES,BLIZZARD,Fauve,2014-02-03,271320,22,0.0978,0.768,0.728,9.83e-06,0.135,-6.606,0.167,104.97,0.541,4,10,1,spotify:track:1z3o9p3heuqQ1diHWuR5pX,2014,2016,alpha
Bande à part,Antaology,Matmatah,2015-09-25,268000,28,0.000252,0.405,0.919,0.000747,0.71,-4.7,0.0556,98.096,0.295,4,7,0,spotify:track:3SUz9IBHbRQYM9JbqFP4Wg,2015,2016,alpha
Hello,Hello,OMFG,2014-12-03,226307,63,0.0339,0.844,0.864,0.216,0.386,-4.483,0.0348,104.997,0.796,4,7,0,spotify:track:6BAnxKyld909yo6Pk1DO3r,2014,2016,alpha
Parade,Tohu Bohu,Rone,2012-11-05,381157,43,0.0964,0.632,0.434,0.769,0.0988,-13.478,0.0424,119.989,0.11,4,7,1,spotify:track:4bPX3ZV62LJxidVbYjlhZL,2012,2016,alpha
Mountains - Acoustic,Many of Horror,Biffy Clyro,2010-01-18,228093,26,0.844,0.565,0.395,0.00107,0.107,-9.482,0.0292,73.957,0.185,4,1,1,spotify:track:39hdAwtHnL2KqNLmuSMe0n,2010,2016,alpha
L'été,"Des cobras, des tarentules",3 Gars Su'l Sofa,2007-03-06,181826,0,0.337,0.831,0.483,0.0,0.127,-7.973,0.041,103.017,0.725,4,8,1,spotify:track:6ao9owb4V1q4exmu8QZDZX,2007,2016,alpha
Morning Love,Cipa: The Monarch and the Viceroy,Carlos Cipa,2012-06-15,162000,0,0.987,0.307,0.252,0.901,0.0777,-15.307,0.0384,78.961,0.491,4,0,0,spotify:track:5gST4jyRxaJz2dYCyPB00q,2012,2016,alpha
La grande cascade,Plaisirs d'amour,René Aubry,1998-10-09,268132,37,0.84,0.634,0.404,0.905,0.136,-13.31,0.038,119.929,0.622,4,10,0,spotify:track:0YVRLEj2Y5Yf4LMNT2rznM,1998,2016,alpha
Patricia,Allons voir,La Rue Kétanou,2014-01-06,245773,25,0.401,0.67,0.532,0.0,0.0689,-8.667,0.0775,91.87,0.91,4,6,0,spotify:track:5owFcVNJ7gb7Iu4nXmhZZU,2014,2016,alpha
Mashed Potatoes,Mashed Potatoes,OMFG,2015-10-30,164500,34,0.0117,0.723,0.932,0.0517,0.111,-4.35,0.0468,119.992,0.632,4,7,0,spotify:track:236uH42zjwFBlAh6ZftwH2,2015,2016,alpha
Windfall,Windfall,TheFatRat,2014-10-31,228382,0,0.0471,0.651,0.852,0.696,0.0658,-5.439,0.0301,101.992,0.397,4,0,0,spotify:track:7HX6O8k7gAHFzm9Dd50Kuz,2014,2016,alpha
Le capitaine de la barrique,Allons voir,La Rue Kétanou,2014-01-06,217306,48,0.565,0.723,0.648,0.0,0.315,-6.46,0.0972,111.467,0.521,1,7,0,spotify:track:68Mw9GeJ5pZHWKqeGtcIMu,2014,2016,alpha
The Nosebleed Section,The Nosebleed Section,Hilltop Hoods,2016-01-22,219640,60,0.51,0.846,0.828,1.28e-06,0.0906,-5.447,0.165,97.453,0.908,4,1,1,spotify:track:0shAFLY8DIPuKbiFS8RqQP,2016,2016,alpha
A ton sourire,Carnet de NOTES,Les P'tits Yeux,2011-06-13,253657,16,0.23,0.755,0.84,2.69e-06,0.245,-6.174,0.0843,123.091,0.796,4,6,0,spotify:track:0JpudC2OMD5AeT8v6KNHPY,2011,2016,alpha
Oh oui je t'aime,Oh oui je t'aime,NACH,2015-07-06,201416,7,0.019,0.74,0.699,9.36e-06,0.118,-7.63,0.0616,129.02,0.54,4,4,0,spotify:track:3BKcs4NAue3sSxYq76qVOo,2015,2016,alpha
It Only Took A Kiss,Rattle Them Bones (Deluxe Edition),Big Bad Voodoo Daddy,2012-09-04,248640,0,0.668,0.904,0.214,0.0,0.0863,-13.878,0.0534,116.979,0.205,4,2,1,spotify:track:3IfmRCbhOqwWGSNPi9QzR5,2012,2016,alpha
Jésus est le chemin,"Best of louange, vol. 2 (Il est vivant!)",Chants de l'Emmanuel,2015-07-10,114626,0,0.687,0.569,0.538,0.0,0.846,-4.876,0.0344,129.987,0.748,4,11,0,spotify:track:0CUIB1RkbJZ4cY1krfZynM,2015,2016,alpha
Oh oui je t'aime,Nach,NACH,2015-04-06,210813,0,0.112,0.753,0.677,3.34e-05,0.0735,-7.657,0.0868,129.025,0.661,4,8,0,spotify:track:2QV1Ox9s8xJH0Tu3Cl4Glz,2015,2016,alpha
