name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
L’amour en Solitaire,Petite Amie (Deluxe),Juliette Armanet,2018-02-02,175266,0,0.404,0.797,0.506,0.000153,0.255,-6.774,0.0327,128.027,0.539,4,5,0,spotify:track:2tn51grfchxArwPXeXkoX5,2018,2018,gamma,C4
It's Just (House of Dupree),Music for the Uninvited,Leon Vynehall,2014-03-24,525466,0,0.0212,0.77,0.711,0.0052,0.133,-9.19,0.308,121.444,0.394,4,1,1,spotify:track:6L6BWLhdE9DgpAltnwMqTt,2014,2018,gamma,C27
Leave Me Alone,Leave Me Alone,KAYTRANADA,2014-08-12,245955,0,0.113,0.786,0.387,0.00732,0.115,-12.732,0.332,120.041,0.236,4,1,1,spotify:track:0fAHY4PWSEbov0OHjj2Gek,2014,2018,gamma,C47
Breezeblocks,An Awesome Wave,alt-J,2012-05-28,227080,0,0.118,0.569,0.645,0.00114,0.146,-7.368,0.0387,74.985,0.247,4,5,1,spotify:track:7gARZ2i5u5DHC1b1n1fML5,2012,2018,gamma,C109
Bécane,FLIP (Deluxe),Lomepal,2017-12-01,286906,50,0.582,0.574,0.644,1.74e-05,0.0915,-7.825,0.161,130.524,0.377,4,9,0,spotify:track:4TCOn6tsGpj98Z84KtQ5ey,2017,2018,gamma,C137
Conjure Dreams,Conjure Infinity,Maceo Plex,2014-12-29,441090,7,0.000189,0.687,0.744,0.875,0.0924,-8.085,0.0545,124.012,0.526,4,2,1,spotify:track:6TcpM1p0xHy1smBjxEF73s,2014,2018,gamma,C144
Africain,L'Apogée,Sexion d'Assaut,2012-11-19,246973,43,0.302,0.657,0.788,0.0,0.0803,-2.832,0.237,131.566,0.611,5,3,0,spotify:track:4W9S2fx0L0q1xrj90kdbhE,2012,2018,gamma,C148
Snakes,Snakes,Sikdope,2016-04-18,174375,49,0.0262,0.86,0.956,0.722,0.183,-1.611,0.0727,128.013,0.0794,4,11,1,spotify:track:7wC9cG5EgruIiQe6Xt6SFm,2016,2018,gamma,C161
Purple Noise,Feuerfalter Special Edition,Boris Brejcha,2014-04-18,539520,49,0.00143,0.88,0.477,0.627,0.0922,-10.947,0.0732,125.017,0.209,4,0,1,spotify:track:6BA2JM59JObFjHNvLK2KOg,2014,2018,gamma,C215
Arc-en-ciel,Arc-en-ciel,Polo & Pan,2018-06-01,231306,40,0.0654,0.777,0.588,0.000276,0.091,-7.903,0.0354,115.985,0.451,4,7,0,spotify:track:1gWZZyQPb8KxMLS88wCdGR,2018,2018,gamma,C239
Alors alors,La vraie vie (Deluxe),Bigflo & Oli,2017-11-03,235200,0,0.205,0.844,0.763,2.5e-06,0.129,-6.551,0.125,104.992,0.554,4,9,0,spotify:track:7Fnb8VaHFLi6ayBMrOlOzn,2017,2018,gamma,C296
Les Cités D'Or,Les Cités D'Or,Psy 4 De La Rime,2008-01-01,260866,45,0.18,0.537,0.796,0.0,0.0744,-4.165,0.331,90.892,0.549,4,8,1,spotify:track:7joWlPN3WKUPcNiqvFTvwj,2008,2018,gamma,C341
See You Again (feat. Charlie Puth),Nine Track Mind,Charlie Puth,2016-01-29,229525,61,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,0.283,4,10,1,spotify:track:66CFbqJScx6zRieGllITcs,2016,2018,gamma,C343
