name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Leap of Faith,Ascendance,Mark John Petrie,2018-08-17,204776,0,0.138,0.169,0.497,0.884,0.115,-12.958,0.0636,113.893,0.0679,3,2,1,spotify:track:3nKkXQo5ZybamTlNCDkPgE,2018,2019,alpha,C10
Look to the Skies,Believe,James Paget,2015-10-25,380801,26,0.223,0.402,0.636,0.811,0.106,-8.587,0.0333,124.032,0.0496,4,3,0,spotify:track:61F38KdIlHQvMJOXQJF6xF,2015,2019,alpha,C23
A Matter of Time,A Matter of Time,Marcus Warner,2018-06-27,312000,39,0.0483,0.437,0.315,0.461,0.0923,-12.909,0.0394,119.986,0.0621,4,4,0,spotify:track:2AP3V1koS6oNpLmFaHxJnq,2018,2019,alpha,C70
Villanelle,Kaleidoscope,Jo Blankenburg,2015-06-25,236986,0,0.716,0.358,0.339,0.923,0.0956,-13.219,0.034,144.988,0.0926,3,4,0,spotify:track:10Tm5F45HgMX57J086bXBS,2015,2019,alpha,C98
The Vikings are Told of Ragnar's Death,The Vikings III (Music from the TV Series),Trevor Morris,2015-05-08,126800,53,0.896,0.0703,0.00291,0.928,0.0974,-31.299,0.0409,177.531,0.0287,4,1,0,spotify:track:2ZR5DlUZBb4Mx2B4UZldgY,2015,2019,alpha,C140
Blackheart,SkyWorld,Two Steps from Hell,2012-10-27,266365,57,0.0945,0.136,0.462,0.936,0.119,-10.982,0.0367,161.073,0.112,3,2,0,spotify:track:2jn89xTHIVsy167uOmAewt,2012,2019,alpha,C199
Dystopia,Dystopia,Hi-Finesse,2017-01-12,167522,47,0.0113,0.446,0.539,0.949,0.114,-10.059,0.0308,100.969,0.0378,4,6,0,spotify:track:7qjUe6dPi2dVhkPH5eGIgR,2017,2019,alpha,C245
Crossing Mars,The Martian: Original Motion Picture Score,Harry Gregson-Williams,2015-09-30,216586,46,0.837,0.0635,0.0733,0.971,0.109,-18.667,0.0429,70.163,0.0371,3,0,0,spotify:track:3JWjcGwtuNGXIVgJl3ax4c,2015,2019,alpha,C292
On brûlera,À peu près,Pomme,2017-10-06,207320,57,0.604,0.487,0.494,0.0,0.204,-7.193,0.0266,101.962,0.139,3,7,0,spotify:track:52APn0QJbjtcHRK0fiXpL6,2017,2019,alpha,C302
Old West Conquest,"Hymn of the High Seas, Vol. 1",Antti Martikainen,2018-09-08,343857,18,0.000147,0.378,0.723,0.872,0.112,-7.681,0.0351,104.967,0.225,4,7,1,spotify:track:1xbTMV2s3znVEf88ZyITPO,2018,2019,alpha,C304
Honor,Epic Soul Factory Vol. 2,Epic Soul Factory,2011-12-22,151966,6,0.0394,0.457,0.604,0.875,0.128,-12.603,0.0533,139.962,0.169,4,5,0,spotify:track:1DuDLt2rdU1TFj7LFVqW6a,2011,2019,alpha,C315
"Clair de Lune (As Featured in the ""Godzilla: King of the Monsters"" Official Trailer)","Clair de Lune (As Featured in the ""Godzilla: King of the Monsters"" Official Trailer)",Imagine Music,2018-07-24,152500,35,0.519,0.181,0.247,0.953,0.115,-8.096,0.042,63.662,0.0368,5,1,1,spotify:track:5DyAEc8u2KacTYGL4h1ocJ,2018,2019,alpha,C323
Sailboat Of Mine,Sailboat Of Mine,Mario Grigorov,2018-08-24,303000,0,0.921,0.186,0.317,0.0004,0.135,-10.176,0.0349,92.573,0.163,5,0,1,spotify:track:1Z3WxyWyzc9g0oSxtR6SDc,2018,2019,alpha,C337
My Funny Valentine (feat. Herbie Hancock),My Funny Valentine (feat. Herbie Hancock),Sting,11/03/2021,293493,35,0.753,0.334,0.241,0.00274,0.0693,-14.084,0.0304,74.703,0.146,3,5,0,spotify:track:2XlwQp17g1hnMGueyMY6pr,2021,2019,alpha,C369
Starscape,Starscape,Erik Ekholm,2018-08-08,284765,12,0.00159,0.473,0.806,0.846,0.0689,-11.525,0.0353,127.989,0.185,4,10,0,spotify:track:3IfpyM74r7P3NXtjyyzgat,2018,2019,alpha,C399
Lullaby of the Giants,God of War (PlayStation Soundtrack),Bear McCreary,2018-04-13,223866,43,0.903,0.0615,0.184,0.893,0.0978,-21.515,0.0444,63.104,0.0384,4,9,1,spotify:track:5spc9JVbY13Gbhvf69ae6v,2018,2019,alpha,C407
Star Sky,Battlecry,Two Steps from Hell,2015-04-28,330579,60,0.00997,0.443,0.822,0.107,0.0889,-5.656,0.0508,130.055,0.361,4,2,0,spotify:track:06AMpcajziFnEKniV25fiU,2015,2019,alpha,C416
White Hart,Snow White & The Huntsman,James Newton Howard,2012-01-01,397280,23,0.278,0.0885,0.197,0.821,0.113,-15.251,0.0381,69.503,0.0379,3,5,0,spotify:track:5MdJ4cCOHT7EzzUIEyQydE,2012,2019,alpha,C509
