name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Goodnight Moon,Volta,Boogie Belgique,2016-09-23,264735,53,0.0616,0.788,0.675,0.711,0.1,-8.591,0.0318,107.993,0.525,4,7,0,spotify:track:2rvo9Ddv18aRV0OJldhWTf,2016,2020,alpha,C5
No Strings Attached,No Strings Attached,Swingrowers,2018-02-09,246973,18,0.298,0.825,0.74,5.21e-06,0.309,-7.354,0.0327,128.018,0.935,4,10,1,spotify:track:39M5ZT6RCX4EM6tspj3hEJ,2018,2020,alpha,C8
Back in Town,Chickens in Your Town,L'Entourloop,2015-05-04,252175,34,0.0135,0.914,0.765,0.00706,0.281,-6.263,0.115,100.025,0.547,4,5,1,spotify:track:1SMd2R2MUOYkf97lnDt063,2015,2020,alpha,C25
Miracle,Chronologic,Caravan Palace,2019-08-30,216213,35,0.61,0.712,0.888,0.000614,0.116,-4.996,0.0621,100.0,0.51,4,7,1,spotify:track:0fG35SHFlPB6HksqoG7zIU,2019,2020,alpha,C57
"Danse macabre in G Minor, Op. 40",Saint-Saens: Symphony No. 3 / Piano Concerto No. 2,Camille Saint-Saëns,1996-12-31,432133,56,0.906,0.442,0.181,0.656,0.0598,-20.419,0.0443,115.884,0.172,4,7,0,spotify:track:1IM8x4lxZVOOP9gpQD6c5s,1996,2020,alpha,C59
Jungle,Notion,Tash Sultana,2017-03-01,315602,7,0.285,0.589,0.699,8.11e-05,0.0881,-5.883,0.0291,145.997,0.496,4,1,0,spotify:track:6t1ahr2f1t9iSjjNFwFb4C,2017,2020,alpha,C72
The Arrival,The Grand EP,Smokey Joe & The Kid,2012-06-04,217899,0,0.167,0.759,0.818,0.0,0.242,-4.431,0.29,95.223,0.75,4,11,0,spotify:track:3SWQJvRO6YW5D3p3pF77iz,2012,2020,alpha,C82
Whatchugot (Pisk Remix),Whatchugot (Pisk Remix),Caro Emerald,2018-02-08,199709,41,0.162,0.877,0.776,0.00398,0.609,-4.801,0.0356,124.011,0.958,4,5,0,spotify:track:27FnDAhPtmDJkY1GAbYv6B,2018,2020,alpha,C124
"Piano Trio No. 2 in E-Flat Major, Op. 100 D. 929: II. Andante con moto","Schubert: Piano trios, Op. 99 & 100",Franz Schubert,2016-09-23,567733,38,0.978,0.3,0.0288,0.244,0.0885,-22.504,0.0336,95.004,0.0854,4,0,1,spotify:track:00zJDVXhQvGixkoMC45crr,2016,2020,alpha,C163
Southern Man,Street Bangerz Volume 8,Akshin Alizadeh,2014-02-11,237397,57,0.11,0.78,0.585,0.314,0.083,-8.766,0.0389,90.024,0.707,4,2,0,spotify:track:29MvtOnoAULKQfEKAPCbja,2014,2020,alpha,C165
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,Pyotr Ilyich Tchaikovsky,1976-01-01,166866,71,0.911,0.136,0.164,0.916,0.109,-18.756,0.0364,58.303,0.071,4,4,0,spotify:track:2xizRhme7pYeITbH1NLLGt,1976,2020,alpha,C204
Never Lose,Polishing Peanuts EP,Deluxe,2011-11-28,222093,37,0.193,0.513,0.64,0.0,0.281,-6.049,0.225,209.596,0.748,4,7,1,spotify:track:2BKROHUOMaTHfRWwuMkoql,2011,2020,alpha,C275
"Für Elise, WoO 59",Piano relaxant : Le meilleur du piano classique,Various Artists,2020-04-22,188466,23,0.994,0.303,0.107,0.877,0.0805,-27.433,0.0473,126.929,0.18,3,9,0,spotify:track:247o8OIbxzEBGVrgZ58Hcu,2020,2020,alpha,C444
Booty Swing,"The Princess, Pt. Two",Parov Stelar,2012-04-20,197506,63,0.26,0.85,0.669,0.274,0.103,-5.46,0.047,112.966,0.914,4,0,1,spotify:track:3sMleqdCDalZ6xsAQe8xuY,2012,2020,alpha,C458
"Toccata & Fugue in D Minor, BWV 565 (Transcribed for Piano) - Remastered",Sándor Plays Bach (Remastered),Johann Sebastian Bach,2020-01-03,511293,1,0.989,0.264,0.338,0.884,0.135,-17.28,0.0434,85.495,0.127,4,2,0,spotify:track:1OWLaTZBIB6L9JHYgCJY21,2020,2020,alpha,C486
Empires,Empires,The Electric Swing Circus,2016-11-23,190508,0,0.266,0.816,0.761,1.75e-06,0.0995,-3.941,0.0369,120.023,0.825,4,2,0,spotify:track:2mP0c7el8oXRpMOFEix7SJ,2016,2020,alpha,C526
Wait a Minute,Stachelight,Deluxe,2016-01-22,192679,40,0.0447,0.767,0.603,0.0,0.056,-4.55,0.203,150.168,0.966,4,9,0,spotify:track:1YlhmgGDDah1cfadrcafWI,2016,2020,alpha,C594
Minnie the Moocher,Minnie the Moocher,Pisk,2017-06-16,221058,47,0.0383,0.715,0.905,0.00233,0.302,-6.024,0.0835,125.96,0.562,4,7,0,spotify:track:0JANCc1DhGuwOBnfaZNzaK,2017,2020,alpha,C597
"Sarabande (From ""Barry Lyndon"")",100 Greatest Film Themes,Various Artists,2007-05-28,248520,0,0.869,0.293,0.0571,0.869,0.0697,-17.814,0.0364,122.819,0.079,3,2,0,spotify:track:7BLsjYk5qtOFpduUC52K7a,2007,2020,alpha,C621
Between the Buttons,Angel,French 79,2014-10-22,317106,43,0.171,0.16,0.386,0.68,0.0974,-12.019,0.0361,90.379,0.0348,4,5,0,spotify:track:4X6wlKIW5Zs0q9FuT9bCWp,2014,2020,alpha,C681
O Fortuna,"Halloween Classics: The Evil, The Demented, And The Just Plain Weird",Various Artists,2007-10-09,169000,38,0.936,0.291,0.123,0.909,0.214,-14.582,0.0371,120.21,0.33,4,2,0,spotify:track:72qTqToLqNwIJCDgm0x3XF,2007,2020,alpha,C700
Gogo,Gogo,Mr. Jazzek,2020-01-21,166171,30,0.0961,0.817,0.68,0.923,0.131,-6.527,0.0516,127.977,0.729,4,5,1,spotify:track:0ztNLT11ln4bOudVKfvcCh,2020,2020,alpha,C706
Luci´s Game,Luci´s Game,Varrick Frost,2020-02-21,253034,37,0.011,0.79,0.82,0.778,0.0711,-7.238,0.179,125.011,0.532,4,1,1,spotify:track:6qRVIbgAvISszexBLE6O4H,2020,2020,alpha,C707
Mais Non - 1920 Version,Mais Non (1920 Version),Klischée,2017-10-06,191801,9,0.427,0.865,0.881,0.205,0.316,-6.812,0.127,128.033,0.849,4,1,1,spotify:track:5OeflTgTzyBrdLxJQtcn0c,2017,2020,alpha,C748
Please Come Home - That's a Pretty Good Love,Please Come Home (That's a Pretty Good Love),Smokey Joe & The Kid,2016-02-15,234242,0,0.00667,0.668,0.838,0.000361,0.384,-4.592,0.156,99.019,0.802,4,1,1,spotify:track:2az3dXXSGHCS23yXd86xuA,2016,2020,alpha,C807
FatMan,FatMan,Jesse Rose,2012-07-08,308667,0,0.00451,0.939,0.692,0.804,0.111,-8.802,0.285,126.06,0.416,4,0,1,spotify:track:7aATFcH1ZVz8bMdosllVSv,2012,2020,alpha,C811
Youth,If You Leave,Daughter,2013-03-18,253013,1,0.889,0.401,0.535,0.00667,0.116,-11.09,0.0407,146.515,0.436,4,0,1,spotify:track:6tqzOYuE3lrNVPDgtF3MjM,2013,2020,alpha,C850
Smile,The Nat King Cole Story,Nat King Cole,1991-01-01,173266,63,0.862,0.226,0.136,8.07e-06,0.302,-19.203,0.0327,79.37,0.263,5,5,0,spotify:track:1oDCK7PW72XEZ1pE5rh87A,1991,2020,alpha,C889
Mama Talking,The Burning Spider,Parov Stelar,2017-04-21,178590,49,0.52,0.804,0.823,0.000542,0.0686,-4.909,0.0599,115.072,0.901,4,7,0,spotify:track:4MwaI5dqRQ20pKPI4vX2yo,2017,2020,alpha,C904
"Piano Sonata No. 4 in E-Flat Major, K. 282- I. Adagio",Mozart: Piano Works Vol. 1,Wolfgang Amadeus Mozart,2019-04-05,350493,0,0.994,0.286,0.0549,0.931,0.102,-24.395,0.0491,73.199,0.182,4,3,1,spotify:track:2dk8Q4T2WeOHsJa5ZC8YSs,2019,2020,alpha,C1025
Yeah Yeah Yeah,Soul Food,Kognitif,2015-06-01,248049,43,0.00372,0.66,0.87,0.0523,0.0535,-5.12,0.0432,94.701,0.498,4,4,0,spotify:track:5u2chFalnZgdgN8K3YKxI0,2015,2020,alpha,C1026
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",Prokofiev: Romeo and Juliet,Sergei Prokofiev,1987,341693,36,0.927,0.21,0.101,0.902,0.0776,-19.383,0.0403,86.314,0.153,4,0,1,spotify:track:4YLVOi2UXj5KLJfphy89nA,1987,2020,alpha,C1108
"Piano Sonata No. 4 in E-Flat Major, K. 282- III. Allegro",Mozart: Piano Works Vol. 1,Wolfgang Amadeus Mozart,2019-04-05,160040,0,0.992,0.363,0.206,0.907,0.131,-18.376,0.0374,111.55,0.5,4,3,1,spotify:track:2cDgkC81dPsXVdAXfPUXrY,2019,2020,alpha,C1130
The Man with the Red Face,Tumult,MEUTE,2017-10-13,498827,41,0.817,0.565,0.704,0.907,0.0906,-9.172,0.0452,122.96,0.196,4,0,0,spotify:track:0nxiBat4Bpj3CPATVhHzTt,2017,2020,alpha,C1315
"An der schönen blauen Donau, Op. 314","Strauss, J.: An der schönen blauen Donau (The Blue Danube)",Johann Strauss II,1982-01-01,707173,63,0.975,0.233,0.0252,0.601,0.143,-24.824,0.0346,94.736,0.0936,4,2,1,spotify:track:4J0e4gEqaLQlG5EM0wws1K,1982,2020,alpha,C1326
