name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
You Should Know (Brothers And Sisters),Adam Naas,Adam Naas,2016-09-30,249000,0,0.0208,0.702,0.435,1.03e-06,0.0891,-8.308,0.0527,149.959,0.546,4,1,1,spotify:track:35QMcoJ6Gi0LaFEeJzs967,2016,2018,beta,C42
Best Part (feat. H.E.R.),H.E.R.,H.E.R.,2017-10-20,209400,71,0.793,0.473,0.371,0.0,0.109,-10.219,0.0405,75.205,0.413,4,4,0,spotify:track:4OBZT9EnhYIV17t4pGw7ig,2017,2018,beta,C78
Embel,Hana,Vlashent Sata,2017-10-05,292292,13,0.818,0.415,0.289,3.2e-05,0.111,-12.525,0.0425,140.473,0.132,4,0,1,spotify:track:2hp5oLRApD2rpw3hFX5oos,2017,2018,beta,C114
"The Seasons, Op. 37-bis: XI. November - In the Troika",Tchaikovsky: The Seasons and Grand Sonata,Pyotr Ilyich Tchaikovsky,2009-02-10,196760,0,0.987,0.303,0.057,0.89,0.0628,-26.381,0.0373,145.649,0.142,4,4,1,spotify:track:2geBc9ZfBwxzjjNApVxg2z,2009,2018,beta,C135
Take It Away,Across the Universe,Rod Ladgrove,2017-08-11,135694,6,0.865,0.554,0.281,0.00169,0.14,-10.448,0.0338,145.104,0.212,4,7,1,spotify:track:06HGas0t2RPUFfmrLggQo9,2017,2018,beta,C177
"Damn, dis-moi (feat. Dâm-Funk)","Damn, dis-moi (feat. Dâm-Funk)",Christine and the Queens,2018-05-17,201066,0,0.0317,0.81,0.61,0.00357,0.121,-5.959,0.0401,110.024,0.763,4,0,0,spotify:track:2mBEeHZ9n01x1qbfHggyl5,2018,2018,beta,C230
At All,Echos,Joshua Hyslop,2018-02-23,144306,0,0.527,0.431,0.201,0.0273,0.0959,-12.112,0.0308,106.61,0.457,5,6,1,spotify:track:3qMRiQrlD2oQldSLV2spwg,2018,2018,beta,C250
"Nocturne No. 1 in E flat, Op. 33, No. 1",Fauré: Piano Music,Gabriel Fauré,2001-01-01,527000,20,0.991,0.308,0.0179,0.895,0.0747,-29.288,0.0405,169.676,0.0383,4,11,1,spotify:track:69kOkgTVaNsoVR2QxwB8io,2001,2018,beta,C252
I'll Come to You,The Kingfisher,Rosemary & Garlic,2015-01-10,215085,0,0.679,0.568,0.33,0.13,0.178,-12.738,0.0288,118.576,0.152,3,5,0,spotify:track:6gxeZiuV90GBiax6ogfkKG,2015,2018,beta,C290
Golden Days,Gems and Bones,The Woodlands,2014-07-22,210586,0,0.913,0.338,0.242,0.374,0.112,-11.535,0.0266,96.317,0.0467,4,10,1,spotify:track:2BdVbApDBRom57qNHkv7GJ,2014,2018,beta,C301
"6 Romances sans paroles, Op. 76: No. 1, Souvenance",Chaminade: Works for Piano,Cécile Chaminade,1991-04-01,119520,0,0.994,0.279,0.0342,0.911,0.104,-29.696,0.0361,87.781,0.169,4,11,0,spotify:track:4B8udiCf3B681ifQ3gnPy4,1991,2018,beta,C410
Change It All,Change It All,Harrison Storm,2017-09-22,247413,0,0.631,0.446,0.303,0.00516,0.118,-12.504,0.0439,120.636,0.24,4,10,1,spotify:track:79pE0ns1sNAbJuNL00MH82,2017,2018,beta,C447
