name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Let Somebody Go - Spotify Singles,Spotify Singles,Coldplay,2022-02-23,243154,38,0.258,0.499,0.357,0.163,0.114,-10.015,0.0292,131.106,0.143,4,0,1,spotify:track:4KiWjFLX5A3oUY40OL0FAh,2022,2022,beta,C54
Flume - Spotify Singles,Spotify Singles,FINNEAS,2022-03-09,231132,42,0.988,0.337,0.0691,0.0722,0.104,-15.817,0.0374,124.846,0.0982,4,0,1,spotify:track:6DaG27cevNVA1lozVKd6dw,2022,2022,beta,C62
Symphony,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,175833,72,0.0227,0.662,0.64,0.0,0.142,-5.223,0.0742,90.002,0.921,4,7,1,spotify:track:2ThaHV10xrAcL2WfqXyLnp,2022,2022,beta,C104
You Will Be Found (with Summer Walker) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,You Will Be Found (with Summer Walker) [From The “Dear Evan Hansen” Original Motion Picture Soundtrack],Sam Smith,2021-09-17,237814,67,0.477,0.397,0.413,0.0,0.0835,-7.701,0.0342,77.864,0.492,4,1,1,spotify:track:2URXzpbSUwOjltvpgtzXua,2021,2022,beta,C118
bad guy (with Justin Bieber),bad guy (with Justin Bieber),Billie Eilish,2019-07-11,194839,68,0.252,0.67,0.453,0.33,0.117,-11.265,0.295,135.055,0.68,4,0,1,spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,2019,2022,beta,C134
Shy Away,Scaled And Icy,Twenty One Pilots,2021-05-21,175044,71,0.000818,0.588,0.856,0.0739,0.238,-5.242,0.0316,96.966,0.635,4,9,0,spotify:track:2nG54Y4a3sH9YpfxMolOyi,2021,2022,beta,C196
#1,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,205040,63,0.0897,0.692,0.695,0.0,0.155,-4.448,0.109,92.98,0.634,4,1,1,spotify:track:0eO2zq5fjPt41BreFmiIKw,2022,2022,beta,C265
"Lieder ohne Worte, Op. 19: No. 6 Andante sostenuto ""Venetianisches Gondellied"" (Arr. Ottensamer for Clarinet and Strings)",Blue Hour: Mendelssohn Edition,Felix Mendelssohn,2021-06-18,110640,49,0.947,0.323,0.0326,0.762,0.104,-22.091,0.0437,83.78,0.155,4,7,0,spotify:track:2DXLtZk2lpilXIdtZiJuTD,2021,2022,beta,C277
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,173381,83,0.237,0.728,0.783,0.0,0.434,-4.424,0.266,77.011,0.555,4,11,0,spotify:track:3CIyK1V4JEJkg02E4EJnDl,2022,2022,beta,C282
abc (nicer),abc (nicer),GAYLE,2021-08-14,168601,60,0.252,0.694,0.545,0.0,0.38,-6.06,0.0446,121.858,0.418,4,4,1,spotify:track:6Vb1LGvWPpP3aeuRcp098D,2021,2022,beta,C313
Good Day,Scaled And Icy,Twenty One Pilots,2021-05-21,204400,59,0.11,0.684,0.677,0.00975,0.34,-7.355,0.0401,142.048,0.37,4,7,1,spotify:track:3uwYgNxFDfx1GoLB6tLoUn,2021,2022,beta,C379
Thinking out Loud,x (Wembley Edition),Ed Sheeran,2013,281560,51,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,4,2,1,spotify:track:3cw4Y2ziYYiJV49bWN5H1D,2013,2022,beta,C396
Chandelier,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-04,216120,73,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,0.572,5,1,1,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,2015,2022,beta,C413
Waves,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,225431,77,0.0741,0.468,0.618,0.0,0.493,-6.353,0.0835,120.123,0.261,4,9,1,spotify:track:0YbFEoJi7Esa7lhIrEpBjl,2022,2022,beta,C480
Borealis,BOREALIS,Sofiane Pamart,2021-09-30,131018,56,0.979,0.315,0.0622,0.878,0.133,-20.977,0.0392,68.216,0.111,4,4,0,spotify:track:5B0LwnnmQTNMW4KLPukmdN,2021,2022,beta,C496
SOS,It'll All Make Sense In The End,James Arthur,2021-11-05,221086,41,0.00283,0.48,0.719,0.0,0.102,-4.147,0.0303,155.941,0.168,4,5,1,spotify:track:5ISlsNznvIDCT367JxY8h5,2021,2022,beta,C499
Dusk Till Dawn (feat. Sia) - Radio Edit,Icarus Falls,ZAYN,2018-12-14,239000,81,0.102,0.259,0.437,1.32e-06,0.106,-6.589,0.0386,180.042,0.0951,4,11,0,spotify:track:3e7sxremeOE3wTySiOhGiP,2018,2022,beta,C511
Saved My Life,Music (Songs From And Inspired By The Motion Picture),Sia,2021-02-12,235531,45,0.213,0.682,0.503,0.0,0.0944,-5.934,0.0417,113.988,0.382,4,8,1,spotify:track:0Ts6bcB1AQYkt28yZXk1qQ,2021,2022,beta,C523
Tristezas De Um Violão - 2003 Remaster,"Garoto, O Genio Das Cordas",Garoto,2003-01-01,165626,32,0.996,0.912,0.348,0.741,0.115,-13.155,0.0572,117.872,0.949,4,9,0,spotify:track:6IPT5H8qgI3qQediF9XkAU,2003,2022,beta,C531
Cutthroat,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,169741,61,0.0833,0.668,0.626,0.0116,0.0782,-5.278,0.315,165.926,0.679,4,7,1,spotify:track:5KXp9E22MHunsS4W4PNBUf,2022,2022,beta,C695
Last Day,Last Day,Two Friends,2021-02-05,220837,44,0.0457,0.653,0.659,0.0,0.265,-4.892,0.0514,102.974,0.438,4,8,1,spotify:track:03t9JYc8ItDyrQUpWeywWE,2021,2022,beta,C721
Why Am I the One,Some Nights,fun.,2012-02-14,286706,49,0.44,0.408,0.499,4.04e-06,0.595,-7.16,0.0547,82.157,0.501,4,6,1,spotify:track:2bEWRMWfH5n8QEuXgVlcxf,2012,2022,beta,C743
Anyone,Justice,Justin Bieber,2021-03-19,190779,73,0.185,0.685,0.521,3.59e-06,0.111,-8.285,0.0345,115.885,0.578,4,2,1,spotify:track:2WnAKZefdRHxtBEkRjFOHC,2021,2022,beta,C747
"Variations on a Polish Theme, Op. 10: No. 5 Andantino","Szymanowski: Piano Works, Vol. 2",Karol Szymanowski,1996-12-06,76933,52,0.996,0.329,0.00695,0.866,0.0906,-34.227,0.0448,70.295,0.238,4,11,0,spotify:track:3bcdLMrAxrfn5dxInjIdI2,1996,2022,beta,C778
Sharks,Sharks,Imagine Dragons,2022-06-24,190883,75,0.00791,0.927,0.642,3.62e-05,0.279,-4.466,0.0657,123.969,0.901,4,10,0,spotify:track:0TyUOnU4H4GLqOcrH0auc8,2022,2022,beta,C842
What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels,2019-01-24,173306,81,0.662,0.516,0.467,0.0,0.0853,-6.184,0.0302,132.861,0.386,4,0,1,spotify:track:5WtfUKzXircvW8l5aaVZWT,2019,2022,beta,C926
