name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Where Do We Go,Where Do We Go,Wiljan,2017-07-02,267428,30,0.172,0.387,0.346,0.786,0.102,-11.793,0.0339,140.017,0.0372,4,4,0,spotify:track:4FSYEsVqmMIaWm29qXe59k,2017,2019,epsilon,C68
This Isn't You,"Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)",Kyle Dixon & Michael Stein,2016-08-12,143880,46,0.98,0.129,0.0192,0.872,0.0878,-29.223,0.0372,79.875,0.0352,4,11,1,spotify:track:4cocLXeDOiFIPBgZCvJ3RF,2016,2019,epsilon,C73
"Adieu, Pt. II",Revelations EP,Tchami,2017-08-25,252413,0,0.114,0.773,0.631,0.858,0.133,-6.771,0.0395,115.992,0.0808,4,11,0,spotify:track:0Brf1s65f8eekORKK9gpe4,2017,2019,epsilon,C125
Rainy Nights,Rainy Nights,Azaleh,2017-02-26,226285,44,0.793,0.674,0.254,0.91,0.0991,-16.671,0.0383,139.991,0.182,4,5,0,spotify:track:1ym6WoyPytqbXcKYcnktlS,2017,2019,epsilon,C146
Joy,Shifting Sands,Avishai Cohen,13/05/2022,327310,26,0.437,0.495,0.453,0.852,0.134,-14.088,0.032,87.062,0.559,3,5,1,spotify:track:76iRKbraDFxxprdgTVpYef,2022,2019,epsilon,C152
Strippers,Steady Stackin,Wizard,2015-11-15,222040,39,0.00364,0.68,0.513,0.797,0.103,-8.863,0.033,126.007,0.594,4,6,1,spotify:track:7FQk91QWE41NkwYP9cNqLl,2015,2019,epsilon,C205
The Return,The Campfire Tales,Philter,2016-11-04,192346,16,0.00402,0.778,0.577,0.749,0.108,-10.593,0.0499,139.98,0.196,4,1,0,spotify:track:3auUhwN9iyjlmlzRZsZgfF,2016,2019,epsilon,C321
Sirop,Sirop,Sara Costa,2017-07-07,222000,36,0.672,0.736,0.717,0.639,0.095,-10.525,0.0334,104.017,0.421,4,8,0,spotify:track:6ogpk56k9Aa30jBIFbgH4c,2017,2019,epsilon,C386
Òra,Òra,Isolated,2017-11-02,212906,35,0.489,0.296,0.399,0.895,0.0899,-8.869,0.0301,139.696,0.0484,4,5,0,spotify:track:6P3FNKX4FlMOiIcJ5rgsJE,2017,2019,epsilon,C400
OdeToYou,OdeToYou,Flitz&Suppe,2016-10-31,181481,0,0.503,0.673,0.356,0.814,0.111,-10.683,0.0365,81.008,0.145,4,3,0,spotify:track:7laPt9sVrlXLK80PoQf05p,2016,2019,epsilon,C423
Business Class,29,Sinitus Tempo,2018-03-01,179385,7,0.808,0.545,0.165,0.0636,0.0733,-23.679,0.26,150.132,0.484,3,9,0,spotify:track:6vB0DD4jgB3ZwCwHvIoVP8,2018,2019,epsilon,C438
Abrasive,Abrasive,Milton Breech,2017-03-30,169881,21,0.113,0.548,0.607,0.131,0.118,-8.773,0.0414,143.007,0.431,3,6,1,spotify:track:4nj6E9ulLdptv9yELjV4gF,2017,2019,epsilon,C449
Date 5: Vanessa,Best of Tinder-Dates,Smoke Trees,2017-12-18,138461,0,0.535,0.738,0.196,0.495,0.1,-16.334,0.04,83.503,0.419,4,11,0,spotify:track:6eyCfeeMTivhFShQYYo2eB,2017,2019,epsilon,C471
Drown - Original Mix,Drown,Enzalla,2015-07-18,327000,16,0.467,0.585,0.458,0.865,0.0658,-10.839,0.153,134.977,0.0513,4,5,0,spotify:track:4CNEJIt1IvdkuYuPfeFYVk,2015,2019,epsilon,C502
Children,Children,LISTENBEE,2017-06-30,211237,0,0.139,0.643,0.716,1.81e-06,0.111,-4.657,0.356,80.927,0.542,4,0,0,spotify:track:0Cm1rvlyvD4bC0fuiCUMtx,2017,2019,epsilon,C506
Gymnopaedia,I Can't Tell You How Much It Hurts,moow,2017-01-27,154761,0,0.927,0.678,0.29,0.906,0.101,-12.177,0.0551,75.991,0.315,4,3,1,spotify:track:1r1zLELlgsA47CBQMG1cdn,2017,2019,epsilon,C512
khutso,khutso,Fujitsu,2017-10-25,81126,31,0.427,0.59,0.433,0.388,0.116,-11.478,0.13,70.967,0.446,4,11,0,spotify:track:25zvyCuLN2ScNCyQ8lVarD,2017,2019,epsilon,C628
Icarus (Automatic Mix),Automatica,Nigel Stanford,2017-09-15,423893,35,0.0335,0.681,0.81,0.68,0.0676,-7.127,0.0422,119.997,0.243,4,4,0,spotify:track:4JbIhRYfnuOAzZhxQ2sSCD,2017,2019,epsilon,C674
Concussion - Live,Live In Loveland!,Delvon Lamarr Organ Trio,22/04/2022,323273,16,0.27,0.609,0.494,0.9,0.097,-10.258,0.0436,124.316,0.748,4,0,1,spotify:track:3jF9jV1VLB6BqYRn6ewvMV,2022,2019,epsilon,C723
